Mouse gene name,Gene name,Gene stable ID,Mouse gene stable ID
Zfp874b,ZNF195,ENSG00000005801,ENSMUSG00000059839
Zfp429,ZNF195,ENSG00000005801,ENSMUSG00000078994
Zfp455,ZNF195,ENSG00000005801,ENSMUSG00000051037
Zfp874a,ZNF195,ENSG00000005801,ENSMUSG00000069206
Zfp456,ZNF195,ENSG00000005801,ENSMUSG00000078995
Rsl1,ZNF195,ENSG00000005801,ENSMUSG00000058900
Zfp58,ZNF195,ENSG00000005801,ENSMUSG00000071291
Zfp87,ZNF195,ENSG00000005801,ENSMUSG00000097333
Rslcan18,ZNF195,ENSG00000005801,ENSMUSG00000074824
Zfp263,ZNF263,ENSG00000006194,ENSMUSG00000022529
Zfp65,ZNF200,ENSG00000010539,ENSMUSG00000071281
Zfp582,ZNF582,ENSG00000018869,ENSMUSG00000109398
Zfp111,ZNF112,ENSG00000062370,ENSMUSG00000087598
,ZNF37A,ENSG00000075407,
,ZNF510,ENSG00000081386,
,ZNF506,ENSG00000081665,
Zfp324,ZNF324,ENSG00000083812,ENSMUSG00000004500
,ZNF671,ENSG00000083814,
,ZNF416,ENSG00000083817,
Zfy1,ZNF586,ENSG00000083828,ENSMUSG00000053211
Zfy2,ZNF586,ENSG00000083828,ENSMUSG00000000103
Zfp446,ZNF446,ENSG00000083838,ENSMUSG00000033961
,ZNF264,ENSG00000083844,
Zfp213,ZNF213,ENSG00000085644,ENSMUSG00000071256
,ZNF343,ENSG00000088876,
,ZNF302,ENSG00000089335,
,ZNF268,ENSG00000090612,
,ZNF184,ENSG00000096654,
,ZNF500,ENSG00000103199,
Zfy1,ZNF419,ENSG00000105136,ENSMUSG00000053211
Zfy2,ZNF419,ENSG00000105136,ENSMUSG00000000103
,ZNF175,ENSG00000105497,
,ZNF14,ENSG00000105708,
Zfp595,ZNF85,ENSG00000105750,ENSMUSG00000057842
Zfp457,ZNF85,ENSG00000105750,ENSMUSG00000055341
Zfp953,ZNF85,ENSG00000105750,ENSMUSG00000098905
Zfp738,ZNF85,ENSG00000105750,ENSMUSG00000048280
Zkscan1,ZKSCAN1,ENSG00000106261,ENSMUSG00000029729
,ZNF684,ENSG00000117010,
,ZNF430,ENSG00000118620,
Zfp30,ZFP30,ENSG00000120784,ENSMUSG00000047473
Zfy1,ZNF549,ENSG00000121406,ENSMUSG00000053211
Zfy2,ZNF549,ENSG00000121406,ENSMUSG00000000103
,ZNF211,ENSG00000121417,
Zfp13,ZNF205,ENSG00000122386,ENSMUSG00000062012
Zfp94,ZNF45,ENSG00000124459,ENSMUSG00000074282
,ZNF133,ENSG00000125846,
Zfp46,ZNF436,ENSG00000125945,ENSMUSG00000051351
,ZNF484,ENSG00000127081,
,ZNF780B,ENSG00000128000,
,ZNF557,ENSG00000130544,
Zfp78,ZNF337,ENSG00000130684,ENSMUSG00000055150
Zfp317,ZNF317,ENSG00000130803,ENSMUSG00000057551
Zfp426,ZNF426,ENSG00000130818,ENSMUSG00000059475
,ZNF331,ENSG00000130844,
,ZNF227,ENSG00000131115,
,ZNF141,ENSG00000131127,
Zfy1,ZNF304,ENSG00000131845,ENSMUSG00000053211
Zfy2,ZNF304,ENSG00000131845,ENSMUSG00000000103
,ZNF132,ENSG00000131849,
Zfp37,ZFP37,ENSG00000136866,ENSMUSG00000028389
Zfp189,ZNF189,ENSG00000136870,ENSMUSG00000039634
Zscan29,ZSCAN29,ENSG00000140265,ENSMUSG00000050619
,ZSCAN32,ENSG00000140987,
Zfp287,ZNF287,ENSG00000141040,ENSMUSG00000005267
,ZIM3,ENSG00000141946,
Zfp14,ZFP14,ENSG00000142065,ENSMUSG00000053985
Zfp473,ZNF473,ENSG00000142528,ENSMUSG00000048012
,ZNF614,ENSG00000142556,
,ZNF514,ENSG00000144026,
