Mouse_gene_name,Human_gene_name
Zfp874b,ZNF195
Zfp263,ZNF263
Zfp65,ZNF200
Zfp582,ZNF582
Zfp111,ZNF112
,ZNF37A
,ZNF510
,ZNF506
Zfp324,ZNF324
,ZNF671
,ZNF416
Zfy1,ZNF586
Zfy2,ZNF586
Zfp446,ZNF446
,ZNF264
Zfp213,ZNF213
,ZNF343
,ZNF302
,ZNF268
,ZNF184
,ZNF500
Zfy1,ZNF419
Zfy2,ZNF419
,ZNF175
,ZNF14
Zfp595,ZNF85
Zfp457,ZNF85
Zfp953,ZNF85
Zfp738,ZNF85
Zkscan1,ZKSCAN1
,ZNF684
,ZNF430
Zfp30,ZFP30
Zfy1,ZNF549
Zfy2,ZNF549
,ZNF211
Zfp13,ZNF205
Zfp94,ZNF45
,ZNF133
Zfp46,ZNF436
,ZNF484
,ZNF780B
,ZNF557
Zfp78,ZNF337
Zfp317,ZNF317
Zfp426,ZNF426
,ZNF331
,ZNF227
,ZNF141
Zfy1,ZNF304
Zfy2,ZNF304
,ZNF132
Zfp37,ZFP37
Zfp189,ZNF189
Zscan29,ZSCAN29
,ZSCAN32
Zfp287,ZNF287
,ZIM3
Zfp14,ZFP14
Zfp473,ZNF473
,ZNF614
,ZNF514
Zfp660,ZNF660
,ZNF300
Rbak,RBAK
,ZNF92
Zfp7,ZNF7
,ZNF214
,ZNF215
,ZNF547
Zfy1,ZNF773
Zfy2,ZNF773
,ZNF776
Zfy1,ZNF256
Zfy2,ZNF256
,ZNF117
,ZNF599
Zkscan6,ZNF18
Zkscan2,ZKSCAN2
Zfp689,ZNF689
,ZNF19
,ZNF230
,ZNF222
,ZNF221
Zfp108,ZNF233
Zfp109,ZNF233
Zfp93,ZNF233
Zfp114,ZNF233
Zfp235,ZNF233
,ZNF235
,ZNF66
,ZNF208
,ZNF761
,ZNF714
Zkscan14,ZNF394
,ZNF333
Zfp382,ZNF382
,ZNF577
,ZNF75A
Zkscan17,ZNF496
,ZNF589
Zfp78,PRDM9
Zfp12,ZNF12
Zfp202,ZNF202
,ZNF3
Zscan21,ZSCAN21
Zfp606,ZNF606
,ZNF91
Zfp612,ZNF23
Zfp61,ZNF226
Zfp180,ZNF180
Zfp641,ZNF641
Zfy1,ZNF610
Zfy2,ZNF610
,ZNF528
,ZNF701
,ZNF283
,ZNF83
Zfp558,ZNF558
Zfp597,ZNF597
,ZNF30
Zfp354a,ZNF354A
Zfp764,ZNF764
Zfp764l1,ZNF764
Zfp764,ZNF747
Zfp764l1,ZNF747
Zfp768,ZNF768
Zfp105,ZNF35
Gm14288,ZNF778
Zfp763,ZNF778
Zfp212,ZNF212
Zfp282,ZNF282
,ZNF16
Zfp160,ZNF160
,ZNF415
Zfp78,ZNF439
Zfp78,ZNF440
Zfy1,ZNF562
Zfy2,ZNF562
Zfy1,ZNF561
Zfy2,ZNF561
Zfy1,ZNF584
Zfy2,ZNF584
Zfp110,ZNF274
Zfp369,ZNF274
Zik1,ZIK1
,ZNF540
Zfp39,ZNF570
,ZNF57
Zfp78,ZNF556
Zfp78,ZNF554
,ZNF596
,ZNF621
,ZNF680
Zkscan16,ZNF483
,ZNF417
Zfp791,ZNF791
,ZNF80
,ZNF497
Zfp266,ZNF266
,ZNF519
Zfp9,ZNF25
BC025920,ZNF77
Zfp169,ZNF169
,ZNF613
,ZNF404
,ZNF135
Zfp78,ZNF491
,ZNF620
,ZNF619
Zfp354c,ZNF354C
,ZNF114
Zfp454,ZNF454
,ZNF543
Zfp354b,ZNF354B
,ZNF223
Zfp113,ZNF713
,ZNF852
Zfy1,ZNF552
Zfy2,ZNF552
Zfy1,ZNF154
Zfy2,ZNF154
,ZNF816
,ZNF571
,ZSCAN4
,ZNF443
Zfy1,ZNF792
Zfy2,ZNF792
Zfp82,ZFP82
,ZNF707
Zfp746,ZNF746
Zfp595,ZNF678
Zfp457,ZNF678
Zfp953,ZNF678
Zfp738,ZNF678
,ZNF101
,ZNF716
,ZNF708
Zscan22,ZSCAN22
Zfp420,ZNF721
,ZNF662
,ZNF320
,ZNF530
,ZNF730
Zfp1,ZFP1
,ZNF93
Zfp90,ZFP90
,ZNF479
Zfp445,ZNF445
,ZNF74
,ZNF829
,ZNF267
Zfp566,ZNF566
,ZNF529
Zfp78,ZNF749
,ZNF17
Zfp78,ZNF555
,ZNF197
,ZNF732
,ZNF546
Zfp286,ZNF286A
Zkscan4,ZKSCAN4
Zkscan3,ZKSCAN4
,ZFP69B
Zfp69,ZFP69
,ZNF490
,ZNF626
Zfy1,ZNF793
Zfy2,ZNF793
Zfp383,ZNF383
Zfp78,ZNF669
,ZNF559
,ZNF177
Zfy1,ZNF548
Zfy2,ZNF548
,ZNF563
,ZNF567
,ZNF573
,ZNF527
,ZNF33A
,ZNF600
,ZKSCAN3
,ZNF676
,ZNF699
Zfp647,ZNF250
,ZNF79
Zfp595,ZNF681
Zfp457,ZNF681
Zfp953,ZNF681
Zfp738,ZNF681
,ZNF766
,ZNF107
,ZNF471
,ZNF836
,ZNF493
Zkscan7,ZKSCAN7
,ZNF729
,ZNF565
Zfp984,ZNF34
Zfp992,ZNF34
Zfp760,ZNF34
Zfp993,ZNF34
Zfp989,ZNF34
Zfp979,ZNF34
Zfp990,ZNF34
Zfp988,ZNF34
Zfp945,ZNF34
Zfp942,ZNF34
Zfp981,ZNF34
Gm7072,ZNF34
Zfp947,ZNF34
Zfp820,ZNF34
Zfp991,ZNF34
Zfp534,ZNF34
Zfp994,ZNF34
Rex2,ZNF34
Zfp943,ZNF34
Zfp995,ZNF34
Zfp980,ZNF34
Zfp987,ZNF34
Zfp944,ZNF34
Zfp985,ZNF34
Zfp946,ZNF34
,ZNF140
,ZNF765
Zfp78,ZNF124
Zfp74,ZNF569
Zfp777,ZNF777
Zfp605,ZNF605
,ZNF799
,ZNF782
,ZNF846
,ZNF136
Zkscan5,ZKSCAN5
,ZNF33B
,ZNF431
Zfy1,ZNF418
Zfy2,ZNF418
Zfp961,ZNF700
Zfp239,ZNF239
,ZSCAN16
Zfp28,ZFP28
Zfp78,ZNF705A
,ZNF585A
,ZNF138
Zfp874b,ZNF429
Zfp429,ZNF429
Zfp455,ZNF429
Zfp874a,ZNF429
Zfp456,ZNF429
Rsl1,ZNF429
Zfp58,ZNF429
Zfp87,ZNF429
Rslcan18,ZNF429
,ZNF470
,ZNF100
Zfp398,ZNF398
Zscan25,ZSCAN25
,ZNF441
Zfp780b,ZNF420
Zfp790,ZNF420
Zfp78,ZNF763
,ZNF679
Zfp595,ZNF682
Zfp457,ZNF682
Zfp953,ZNF682
Zfp738,ZNF682
Zfy1,ZNF772
Zfy2,ZNF772
Krbox5,ZNF257
,ZNF785
,KRABD5
Zfp655,ZNF655
,ZNF98
Zfp786,ZNF786
Zfp113,ZNF517
,ZNF675
,ZNF860
Zfp595,ZNF695
Zfp457,ZNF695
Zfp953,ZNF695
Zfp738,ZNF695
Zfp160,ZNF665
,ZNF624
,ZNF841
,ZNF615
,ZNF433
,ZNF460
Zfp850,ZNF780A
Zfp626,ZNF780A
Zfp59,ZNF780A
Zfp607a,ZNF780A
Zfp60,ZNF780A
Zfp607b,ZNF780A
,ZNF461
,ZNF181
,ZNF44
,ZNF790
,ZNF677
,ZNF823
,ZNF311
,ZNF347
,ZNF71
Zfp560,ZNF121
Zfp78,ZNF560
,ZNF273
,ZNF84
Zfp667,ZNF667
,ZNF649
Zfp248,ZNF248
,ZNF544
Zfp251,ZNF251
,ZNF607
Zfp334,ZNF334
,ZNF485
Zkscan8,ZKSCAN8
,ZNF442
,ZNF813
,ZNF26
Zfp78,ZNF69
Zfp583,ZNF583
,ZNF568
Zfy1,ZNF480
Zfy2,ZNF480
,ZNF587
,ZNF808
,ZNF43
,ZNF28
Zfp872,ZNF627
,ZNF789
,ZNF534
Zfp2,ZFP2
,ZNF525
,ZNF814
Zfp551,ZNF551
,ZNF805
,ZNF468
,ZNF616
Zfp57,ZFP57
,ZNF155
,ZNF783
,ZNF425
Zfp316,ZNF316
,ZNF611
,ZNF254
Zfy1,ZNF134
Zfy2,ZNF134
Zfp759,ZNF845
Zfp712,ZNF845
Zfp748,ZNF845
Zfp458,ZNF845
Zfp729a,ZNF845
Zfp729b,ZNF845
Zfp459,ZNF845
,ZNF726
,ZNF99
,ZNF90
Zfp78,ZNF891
,ZNF705EP
Zfp595,ZNF727
Zfp457,ZNF727
Zfp953,ZNF727
Zfp738,ZNF727
Zfp78,ZNF705D
Zfp78,ZNF705G
,ZNF880
,ZNF844
,ZNF735
,ZNF717
,ZNF492
Zfp879,ZNF879
Zfp595,ZNF736
Zfp457,ZNF736
Zfp953,ZNF736
Zfp738,ZNF736
,ZNF737
,ZNF585B
Zfp324,ZNF324B
,ZNF718
Zfp11,ZNF345
,ZNF550
Zfp260,ZNF260
,ZNF432
,ZNF10
,ZNF486
,ZNF225
,ZNF350
,ZNF253
Zfp867,ZNF878
,ZNF625
,ZNF578
,ZNF234
,ZNF850
,ZNF285
,ZNF224
,ZNF728
Zfy1,ZNF587B
Zfy2,ZNF587B
,ZIM2
,ZNF595
,ZNF658
Zfp661,ZNF2
,ZNF670
,ZNF229
