Label,Cluster #
LOC103802812,204
LOC103543601,206
LOC102745885,206
LOC101380464,206
LOC103669242,206
LOC102733467,207
ZNF286A,207
LOC101086878,209
ZNF266,209
LOC101364984,209
LOC102959084,209
LOC103676342,209
ZNF555,211
noname,211
LOC105551975,211
LOC103265971,211
LOC103602200,211
LOC103605467,211
LOC103581956,211
LOC106146325,211
LOC101591652,211
LOC105005588,211
LOC105078171,211
LOC105106050,211
LOC103294410,211
LOC103073418,211
LOC101369788,211
LOC101284520,211
LOC105300429,211
LOC103681659,211
LOC101368305,212
LOC103681661,212
ZNF782,213
LOC103663320,213
ZNF597,215
Znf597,215
Zfp597,215
LOC103020010,215
LOC102997343,215
PRDM7,216
MZF1,218
MZF1,220
LOC103657337,221
LOC103657338,222
LOC103609218,223
LOC103011735,223
LOC101623000,223
LOC103547976,223
LOC102749817,223
LOC105757954,223
LOC105747722,223
LOC102954682,223
ZNF677,223
LOC103657336,223
LOC102831121,223
LOC101640129,223
LOC102860088,223
LOC102843481,223
LOC101354853,223
LOC103267710,224
LOC102494716,224
LOC103014376,224
LOC103547976,224
ZNF91,224
LOC101381399,224
LOC103657369,224
LOC105809508,225
LOC103593078,225
LOC102029909,225
LOC105744007,225
LOC103016605,225
LOC103547832,225
LOC103084044,225
LOC103657333,225
LOC103000937,226
LOC104983462,226
LOC102279629,226
LOC102393424,226
LOC105067188,226
LOC105092004,226
LOC102509835,226
LOC101090728,226
LOC102749410,226
LOC103084044,226
LOC105747726,226
LOC102962962,226
LOC102343869,226
ZNF415,226
LOC102531541,226
LOC103672919,229
LOC103672922,230
LOC103672906,234
ZNF227,235
ZNF229,235
LOC102022334,235
LOC104861693,235
Znf227,235
ZNF226,235
ZNF233,235
LOC102260619,235
LOC101274261,235
LOC102836890,235
LOC102858235,235
LOC101352937,235
ZNF45,236
LOC100587491,236
LOC102490676,236
LOC102023400,236
Znf45,236
LOC101607505,236
Zfp94,236
LOC103749219,236
LOC103749231,236
LOC101524523,236
LOC101561618,236
LOC102906879,236
LOC102412994,236
LOC101627069,236
LOC103301455,236
LOC103122309,236
LOC102747161,236
LOC102259700,236
LOC101374306,236
LOC101273534,236
LOC102882393,236
LOC101556226,236
LOC101342545,236
LOC102735160,239
LOC101386007,239
LOC103676356,241
LOC103672918,243
LOC103903525,250
LOC105401065,250
LOC104290002,250
LOC102931549,250
LOC104079790,250
LOC104322907,250
LOC104045702,250
LOC103925982,250
LOC104143137,250
LOC102936875,254
ZKSCAN1,254
LOC102932941,307
LOC102941375,318
LOC102930243,320
LOC102943367,392
ZNF212,396
ZNF629,428
ZNF629,429
ZNF684,440
LOC106046799,705
LOC104161690,705
LOC104121802,705
LOC104347136,705
LOC100545735,705
LOC103925982,705
ZNF783,706
LOC103808815,706
LOC106046799,706
LOC103903525,706
LOC105401065,706
LOC104641610,706
LOC104528983,706
LOC104157351,706
LOC104398441,706
LOC104290002,706
LOC102934274,706
LOC104554654,706
LOC103613075,706
LOC104061116,706
LOC104512715,706
LOC102055831,706
LOC101815520,706
LOC104080575,706
ZNF767,706
LOC104254236,706
LOC102037796,706
LOC104318143,706
LOC103756388,706
LOC100545735,706
ZNF774,706
LOC104404343,706
LOC104328024,706
LOC104036383,706
LOC104299219,706
LOC102105094,706
LOC103925982,706
LOC103813026,706
LOC104143147,706
LOC102070500,706
LOC105724307,708
LOC105723979,709
LOC105724024,711
LOC105724024,712
ZNF850,714
LOC105740305,714
LOC105706592,714
LOC105714480,715
LOC105714577,716
LOC105718519,718
ZNF596,721
LOC105000721,721
PRDM9,721
LOC102410356,721
LOC103300855,721
LOC103679346,721
LOC105721602,722
ZUFSP,723
ZNF232,724
LOC105722911,725
LOC105723304,726
LOC105726268,727
LOC105726274,728
LOC105726273,729
LOC105726273,730
ZNF99,731
LOC105726276,732
LOC105726283,733
LOC105726264,734
LOC105726266,735
LOC105726275,736
LOC105726299,737
LOC105726299,738
LOC105726299,739
LOC105726299,741
LOC105727611,742
LOC105728300,744
LOC105729042,745
LOC105729310,746
LOC105729310,748
LOC105729256,749
ZNF660,750
ZKSCAN7,750
LOC715300,750
LOC105480312,750
Znf660,750
LOC102997289,750
ZNF197,750
LOC101286985,750
LOC105756051,750
LOC105730218,751
LOC105730224,752
ZNF624,754
LOC103592994,754
LOC102017970,754
Znf624,754
LOC105942559,754
ZNF286A,754
